name,popularity,cumulative
John,5.299585,5.299585
James,4.574991,9.874576
William,4.409453,14.284029
Robert,3.821662,18.105691
Charles,2.518147,20.623838
Michael,2.366102,22.98994
Joseph,2.292487,25.282427
David,2.159018,27.441445
George,2.096747,29.538192
Thomas,1.901267,31.439459
Richard,1.829625,33.269084
Edward,1.427891,34.696975
Frank,1.339841,36.036816
Daniel,1.098732,37.135548
Paul,1.073593,38.209141
Donald,1.034592,39.243733
Christopher,1.029456,40.273189
Henry,0.959094,41.232283
Walter,0.90572,42.138003
Kenneth,0.834618,42.972621
Anthony,0.814686,43.787307
Matthew,0.797008,44.584315
Harry,0.79495,45.379265
Andrew,0.785335,46.1646
Arthur,0.753998,46.918598
Mark,0.711467,47.630065
Raymond,0.710208,48.340273
Albert,0.697036,49.037309
Ronald,0.663841,49.70115
Steven,0.660196,50.361346
Brian,0.605216,50.966562
Harold,0.601335,51.567897
Fred,0.589056,52.156953
Samuel,0.579873,52.736826
Willie,0.575889,53.312715
Kevin,0.573209,53.885924
Joshua,0.565345,54.451269
Timothy,0.560668,55.011937
Jack,0.560518,55.572455
Jason,0.542213,56.114668
Carl,0.52901,56.643678
Stephen,0.511472,57.15515
Joe,0.508141,57.663291
Gary,0.505097,58.168388
Jeffrey,0.502547,58.670935
Clarence,0.495593,59.166528
Louis,0.492879,59.659407
Roy,0.490522,60.149929
Larry,0.482597,60.632526
Ralph,0.469357,61.101883
Nicholas,0.45654,61.558423
Eric,0.451479,62.009902
Jacob,0.450619,62.460521
Benjamin,0.448095,62.908616
Peter,0.441114,63.34973
Ryan,0.427666,63.777396
Lawrence,0.420251,64.197647
Scott,0.41328,64.610927
Jerry,0.409608,65.020535
Patrick,0.405885,65.42642
Howard,0.403105,65.829525
Ernest,0.398502,66.228027
Earl,0.39153,66.619557
Jonathan,0.391095,67.010652
Eugene,0.390062,67.400714
Justin,0.37325,67.773964
Dennis,0.372261,68.146225
Gregory,0.366551,68.512776
Jesse,0.354253,68.867029
Brandon,0.351125,69.218154
Douglas,0.329672,69.547826
Francis,0.329493,69.877319
Gerald,0.328011,70.20533
Alexander,0.324048,70.529378
Alfred,0.31008,70.839458
Herbert,0.30867,71.148128
Jose,0.299464,71.447592
Aaron,0.292292,71.739884
Leonard,0.290462,72.030346
Adam,0.289183,72.319529
Russell,0.289034,72.608563
Roger,0.285948,72.894511
Charlie,0.282084,73.176595
Stanley,0.272945,73.44954
Frederick,0.272918,73.722458
Nathan,0.271728,73.994186
Philip,0.26345,74.257636
Billy,0.262495,74.520131
Martin,0.261413,74.781544
Tyler,0.254245,75.035789
Lee,0.253229,75.289018
Edwin,0.238919,75.527937
Norman,0.238891,75.766828
Keith,0.238821,76.005649
Wayne,0.238291,76.24394
Oscar,0.23633,76.48027
Zachary,0.236096,76.716366
Bruce,0.232084,76.94845
Elmer,0.231324,77.179774
Terry,0.230122,77.409896
Theodore,0.229299,77.639195
Kyle,0.228806,77.868001
Leo,0.22219,78.090191
Ray,0.22101,78.311201
Jeremy,0.219634,78.530835
Victor,0.218359,78.749194
Vincent,0.215505,78.964699
Leroy,0.213565,79.178264
Allen,0.212876,79.39114
