name,cum_prop100k
Smith,880.85
Johnson,1569.3
Williams,2137.96
Brown,2649.58
Jones,3154.75
Miller,3572.82
Davis,3970.33
Garcia,4288.5
Rodriguez,4586.62
Wilson,4876.9
Martinez,5164.22
Anderson,5446.83
Taylor,5713.87
Thomas,5977.33
Hernandez,6239.18
Moore,6498.17
Martin,6747.54
Jackson,6994.47
Thompson,7233.34
White,7470.4
Lopez,7700.81
Lee,7925.4
Gonzalez,8146.97
Harris,8366.99
Clark,8570.27
Lewis,8759.3
Robinson,8945.77
Walker,9131.61
Perez,9312.7
Hall,9488.25
Young,9660.97
Allen,9832.74
Sanchez,9996.31
Wright,10159.55
King,10322.28
Scott,10478.01
Green,10631.29
Baker,10784.51
Adams,10937.64
Nelson,11090.46
Hill,11243.1
Ramirez,11387.3
Campbell,11525.18
Mitchell,11661.38
Roberts,11797.14
Carter,11931.53
Phillips,12061.96
Evans,12188.83
Turner,12313.26
Torres,12433.8
Parker,12554
Collins,12671.82
Edwards,12789.36
Stewart,12905.35
Flores,13021.23
Morris,13136.8
Nguyen,13251.76
Murphy,13363.16
Rivera,13474.17
Cook,13583.45
Rogers,13692.58
Morgan,13795.04
Peterson,13897
Cooper,13997.12
Reed,14096.26
Bailey,14194.84
Bell,14292.98
Gomez,14390.69
Kelly,14487.22
Howard,14581.66
Ward,14675.86
Cox,14769.94
Diaz,14863.27
Richardson,14955.77
Wood,15047.44
Watson,15137.31
Brooks,15226.56
Bennett,15315.17
Gray,15402.92
James,15489.38
Reyes,15575.57
Cruz,15661.22
Hughes,15746.26
Price,15831.06
Myers,15914.4
Long,15997.25
Foster,16079.19
Sanders,16161.07
Ross,16242.61
Morales,16323.29
Powell,16403.57
Sullivan,16483.5
Russell,16563.36
Ortiz,16642.95
Jenkins,16722.18
Gutierrez,16801.1
Perry,16879.93
Butler,16958.1
Barnes,17036.1
Fisher,17114.05
Henderson,17191.94
Coleman,17269.27
Simmons,17344.02
Patterson,17417.63
Jordan,17490.73
Reynolds,17563.24
Hamilton,17635.28
Graham,17707.22
Kim,17779.16
Gonzales,17851.05
Alexander,17922.76
Ramos,17994.34
Wallace,18065.06
Griffin,18135.72
West,18205.59
Cole,18275.2
Hayes,18344.7
Chavez,18413.6
Gibson,18481.96
Bryant,18550.08
Ellis,18617.52
Stevens,18684.77
Murray,18750.91
Ford,18817.04
Marshall,18882.73
Owens,18948.1
McDonald,19013.38
Harrison,19078.46
Ruiz,19143.49
Kennedy,19207.12
Wells,19270.37
Alvarez,19332.95
Woods,19395.53
Mendoza,19458.02
Castillo,19519.36
Olson,19579.97
Webb,19640.57
Washington,19701.01
Tucker,19761.41
Freeman,19821.71
Burns,19881.82
Henry,19941.65
Vasquez,20000.96
Snyder,20060.03
Simpson,20118.69
Crawford,20177.31
Jimenez,20235.68
Porter,20293.83
Mason,20351.47
Shaw,20408.99
Gordon,20466.42
Wagner,20523.7
Hunter,20580.94
Romero,20637.94
Hicks,20694.89
Dixon,20751.24
Hunt,20807.58
Palmer,20863.33
Robertson,20919.05
Black,20974.72
Holmes,21030.39
Stone,21085.92
Meyer,21141.4
Boyd,21196.81
Mills,21251.64
Warren,21306.47
Fox,21361.09
Rose,21415.56
Rice,21469.84
Moreno,21524
Schmidt,21577.96
Patel,21631.73
Ferguson,21684.47
Nichols,21737.08
Herrera,21789.27
Medina,21840.93
Ryan,21892.58
Fernandez,21944.22
Weaver,21995.68
Daniels,22047.12
Stephens,22098.55
Gardner,22149.95
Payne,22201.12
Kelley,22252.11
Dunn,22302.88
Pierce,22353.48
Arnold,22404.02
Tran,22454.47
Spencer,22504.3
Peters,22554.06
Hawkins,22603.76
Grant,22653.45
Hansen,22702.93
Castro,22752.32
Hoffman,22801.49
Hart,22850.6
Elliott,22899.7
Cunningham,22948.59
Knight,22997.47
Bradley,23046.14
Carroll,23094.71
Hudson,23143.19
Duncan,23191.54
Armstrong,23239.72
Berry,23287.69
Andrews,23335.63
Johnston,23383.43
Ray,23431.17
Lane,23478.89
Riley,23526.33
Carpenter,23573.43
Perkins,23620.49
Aguilar,23667.35
Silva,23714.12
Richards,23760.7
Willis,23807.26
Matthews,23853.54
Chapman,23899.74
Lawrence,23945.82
Garza,23991.84
Vargas,24037.78
Watkins,24083.18
Wheeler,24128.28
Larson,24173.16
Carlson,24217.69
Harper,24262.13
George,24306.53
Greene,24350.86
Burke,24395.04
Guzman,24438.93
Morrison,24482.65
Munoz,24526.31
Jacobs,24569.14
Obrien,24611.91
Lawson,24654.61
Franklin,24697.19
Lynch,24739.61
Bishop,24781.88
Carr,24824.1
Salazar,24866.17
Austin,24908.11
Mendez,24949.91
Gilbert,24991.57
Jensen,25033.21
Williamson,25074.81
Montgomery,25116.38
Harvey,25157.95
Oliver,25199.34
Howell,25239.98
Dean,25280.47
Hanson,25320.91
Weber,25360.89
Garrett,25400.84
Sims,25440.6
Burton,25480.32
Fuller,25519.87
Soto,25559.4
McCoy,25598.87
Welch,25638.09
Chen,25677.21
Schultz,25716.12
Walters,25754.78
Reid,25793.34
Fields,25831.61
Walsh,25869.87
Little,25907.95
Fowler,25945.99
Bowman,25983.89
Davidson,26021.71
May,26059.42
Day,26097.11
Schneider,26134.39
Newman,26171.64
Brewer,26208.88
Lucas,26246.11
Holland,26283.13
Wong,26319.98
Banks,26356.79
Santos,26393.48
Curtis,26430.17
Pearson,26466.76
Delgado,26503.34
Valdez,26539.9
Pena,26576.35
Rios,26612.15
Douglas,26647.9
Sandoval,26683.6
Barrett,26719.14
Hopkins,26754.21
Keller,26789.17
Guerrero,26824.07
Stanley,26858.85
Bates,26893.6
Alvarado,26928.34
Beck,26962.88
Ortega,26997.4
Wade,27031.81
Estrada,27066.23
Contreras,27100.57
Barnett,27134.78
Caldwell,27168.64
Santiago,27202.36
Lambert,27235.96
Powers,27269.47
Chambers,27302.95
Nunez,27336.39
